n;merge;quick
1000;0;0;
2000;1;0;
3000;2;0;
4000;2;0;
5000;2;1;
6000;2;1;
7000;3;1;
8000;3;1;
9000;3;1;
10000;4;2;
11000;4;2;
12000;5;1;
13000;5;2;
14000;6;2;
15000;6;2;
16000;6;2;
17000;7;3;
18000;7;2;
19000;7;3;
20000;8;3;
21000;9;3;
22000;8;3;
23000;9;3;
24000;9;4;
25000;10;3;
26000;10;3;
27000;11;3;
28000;11;4;
29000;11;5;
30000;12;4;
31000;12;4;
32000;13;6;
33000;13;5;
34000;14;5;
35000;15;5;
36000;15;5;
37000;14;5;
38000;15;6;
39000;16;5;
40000;16;6;
41000;16;6;
42000;17;6;
43000;17;6;
44000;17;6;
45000;17;6;
46000;18;6;
47000;18;7;
48000;19;7;
49000;19;7;
50000;19;7;
51000;20;8;
52000;20;8;
53000;21;8;
54000;22;8;
55000;22;8;
56000;21;8;
57000;23;9;
58000;23;9;
59000;23;8;
60000;23;9;
61000;24;10;
62000;24;9;
63000;26;9;
64000;25;9;
65000;25;9;
66000;26;10;
67000;26;10;
68000;27;10;
69000;26;10;
70000;27;10;
71000;28;10;
72000;30;10;
73000;29;10;
74000;29;11;
75000;30;12;
76000;30;11;
77000;31;12;
78000;31;11;
79000;31;12;
80000;31;12;
81000;32;12;
82000;33;12;
83000;33;13;
84000;34;13;
85000;33;13;
86000;34;13;
87000;34;13;
88000;35;13;
89000;36;13;
90000;36;14;
91000;37;13;
92000;37;14;
93000;38;14;
94000;38;14;
95000;39;14;
96000;38;14;
97000;38;15;
98000;39;14;
99000;40;14;
100000;41;15;
